CO_MUNICIPIO;SG_UF;NO_UF;NO_MUNICIPIO;CN;DT_INICIO_VIGENCIA;DT_FIM_VIGENCIA;DE_ALTERACAO_REGULAMENTAR;VIGENTE
1100262;RO;RONDÔNIA;Rio Crespo;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1100288;RO;RONDÔNIA;Rolim de Moura;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1100296;RO;RONDÔNIA;"Santa Luzia D'Oeste";69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1100304;RO;RONDÔNIA;Vilhena;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1100320;RO;RONDÔNIA;São Miguel do Guaporé;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1100338;RO;RONDÔNIA;Nova Mamoré;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1100346;RO;RONDÔNIA;"Alvorada D'Oeste";69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1100379;RO;RONDÔNIA;Alto Alegre dos Parecis;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1100403;RO;RONDÔNIA;Alto Paraíso;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1100452;RO;RONDÔNIA;Buritis;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1100502;RO;RONDÔNIA;Novo Horizonte do Oeste;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1100601;RO;RONDÔNIA;Cacaulândia;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1100700;RO;RONDÔNIA;Campo Novo de Rondônia;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1100809;RO;RONDÔNIA;Candeias do Jamari;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1100908;RO;RONDÔNIA;Castanheiras;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1100924;RO;RONDÔNIA;Chupinguaia;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1100940;RO;RONDÔNIA;Cujubim;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1101005;RO;RONDÔNIA;Governador Jorge Teixeira;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1101104;RO;RONDÔNIA;Itapuã do Oeste;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1101203;RO;RONDÔNIA;Ministro Andreazza;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1101302;RO;RONDÔNIA;Mirante da Serra;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1101401;RO;RONDÔNIA;Monte Negro;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1101435;RO;RONDÔNIA;Nova União;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1101450;RO;RONDÔNIA;Parecis;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1101468;RO;RONDÔNIA;Pimenteiras do Oeste;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1101476;RO;RONDÔNIA;Primavera de Rondônia;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1101484;RO;RONDÔNIA;"São Felipe D'Oeste";69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1101492;RO;RONDÔNIA;São Francisco do Guaporé;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1101500;RO;RONDÔNIA;Seringueiras;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1101559;RO;RONDÔNIA;Teixeirópolis;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1101609;RO;RONDÔNIA;Theobroma;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1101708;RO;RONDÔNIA;Urupá;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1101757;RO;RONDÔNIA;Vale do Anari;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1101807;RO;RONDÔNIA;Vale do Paraíso;69;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1200013;AC;ACRE;Acrelândia;68;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1200054;AC;ACRE;Assis Brasil;68;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1200104;AC;ACRE;Brasiléia;68;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1200138;AC;ACRE;Bujari;68;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1200179;AC;ACRE;Capixaba;68;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1200203;AC;ACRE;Cruzeiro do Sul;68;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1200252;AC;ACRE;Epitaciolândia;68;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1200302;AC;ACRE;Feijó;68;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1200328;AC;ACRE;Jordão;68;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1200336;AC;ACRE;Mâncio Lima;68;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1200344;AC;ACRE;Manoel Urbano;68;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1200351;AC;ACRE;Marechal Thaumaturgo;68;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1200385;AC;ACRE;Plácido de Castro;68;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1200393;AC;ACRE;Porto Walter;68;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1200401;AC;ACRE;Rio Branco;68;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1200427;AC;ACRE;Rodrigues Alves;68;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1200435;AC;ACRE;Santa Rosa do Purus;68;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1200450;AC;ACRE;Senador Guiomard;68;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1200500;AC;ACRE;Sena Madureira;68;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1200609;AC;ACRE;Tarauacá;68;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1200708;AC;ACRE;Xapuri;68;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1200807;AC;ACRE;Porto Acre;68;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1300029;AM;AMAZONAS;Alvarães;97;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1300060;AM;AMAZONAS;Amaturá;97;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1300086;AM;AMAZONAS;Anamã;97;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1300102;AM;AMAZONAS;Anori;97;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1300144;AM;AMAZONAS;Apuí;97;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1300201;AM;AMAZONAS;Atalaia do Norte;97;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1300300;AM;AMAZONAS;Autazes;92;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1300409;AM;AMAZONAS;Barcelos;97;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1300508;AM;AMAZONAS;Barreirinha;92;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1300607;AM;AMAZONAS;Benjamin Constant;97;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1300631;AM;AMAZONAS;Beruri;97;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1300680;AM;AMAZONAS;Boa Vista do Ramos;92;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1300706;AM;AMAZONAS;Boca do Acre;97;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1300805;AM;AMAZONAS;Borba;92;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1300839;AM;AMAZONAS;Caapiranga;92;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1300904;AM;AMAZONAS;Canutama;97;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1301001;AM;AMAZONAS;Carauari;97;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1301100;AM;AMAZONAS;Careiro;92;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1301159;AM;AMAZONAS;Careiro da Várzea;92;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1301209;AM;AMAZONAS;Coari;97;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1301308;AM;AMAZONAS;Codajás;97;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1301407;AM;AMAZONAS;Eirunepé;97;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1301506;AM;AMAZONAS;Envira;97;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1301605;AM;AMAZONAS;Fonte Boa;97;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1301654;AM;AMAZONAS;Guajará;97;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1301704;AM;AMAZONAS;Humaitá;97;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1301803;AM;AMAZONAS;Ipixuna;97;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1301852;AM;AMAZONAS;Iranduba;92;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1301902;AM;AMAZONAS;Itacoatiara;92;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1301951;AM;AMAZONAS;Itamarati;97;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1302009;AM;AMAZONAS;Itapiranga;92;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1302108;AM;AMAZONAS;Japurá;97;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1302207;AM;AMAZONAS;Juruá;97;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1302306;AM;AMAZONAS;Jutaí;97;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1302405;AM;AMAZONAS;Lábrea;97;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1302504;AM;AMAZONAS;Manacapuru;92;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1302553;AM;AMAZONAS;Manaquiri;92;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1302603;AM;AMAZONAS;Manaus;92;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1302702;AM;AMAZONAS;Manicoré;97;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1302801;AM;AMAZONAS;Maraã;97;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1302900;AM;AMAZONAS;Maués;92;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1303007;AM;AMAZONAS;Nhamundá;92;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1303106;AM;AMAZONAS;Nova Olinda do Norte;92;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1303205;AM;AMAZONAS;Novo Airão;92;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1303304;AM;AMAZONAS;Novo Aripuanã;97;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1303403;AM;AMAZONAS;Parintins;92;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1303502;AM;AMAZONAS;Pauini;97;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1303536;AM;AMAZONAS;Presidente Figueiredo;92;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1303569;AM;AMAZONAS;Rio Preto da Eva;92;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1303601;AM;AMAZONAS;Santa Isabel do Rio Negro;97;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1303700;AM;AMAZONAS;Santo Antônio do Içá;97;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1303809;AM;AMAZONAS;São Gabriel da Cachoeira;97;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1303908;AM;AMAZONAS;São Paulo de Olivença;97;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1303957;AM;AMAZONAS;São Sebastião do Uatumã;92;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1304005;AM;AMAZONAS;Silves;92;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1304062;AM;AMAZONAS;Tabatinga;97;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1304104;AM;AMAZONAS;Tapauá;97;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1304203;AM;AMAZONAS;Tefé;97;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1304237;AM;AMAZONAS;Tonantins;97;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1304260;AM;AMAZONAS;Uarini;97;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1304302;AM;AMAZONAS;Urucará;92;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1304401;AM;AMAZONAS;Urucurituba;92;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1400027;RR;RORAIMA;Amajari;95;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1400050;RR;RORAIMA;Alto Alegre;95;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1400100;RR;RORAIMA;Boa Vista;95;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1400159;RR;RORAIMA;Bonfim;95;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1400175;RR;RORAIMA;Cantá;95;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1400209;RR;RORAIMA;Caracaraí;95;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1400233;RR;RORAIMA;Caroebe;95;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1400282;RR;RORAIMA;Iracema;95;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1400308;RR;RORAIMA;Mucajaí;95;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1400407;RR;RORAIMA;Normandia;95;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1400456;RR;RORAIMA;Pacaraima;95;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1400472;RR;RORAIMA;Rorainópolis;95;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1400506;RR;RORAIMA;São João da Baliza;95;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1400605;RR;RORAIMA;São Luiz;95;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1400704;RR;RORAIMA;Uiramutã;95;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1500107;PA;PARÁ;Abaetetuba;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1500131;PA;PARÁ;Abel Figueiredo;94;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1500206;PA;PARÁ;Acará;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1500305;PA;PARÁ;Afuá;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1500347;PA;PARÁ;Água Azul do Norte;94;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1500404;PA;PARÁ;Alenquer;93;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1500503;PA;PARÁ;Almeirim;93;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1500602;PA;PARÁ;Altamira;93;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1500701;PA;PARÁ;Anajás;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1500800;PA;PARÁ;Ananindeua;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1500859;PA;PARÁ;Anapu;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1500909;PA;PARÁ;Augusto Corrêa;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1500958;PA;PARÁ;Aurora do Pará;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1501006;PA;PARÁ;Aveiro;93;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1501105;PA;PARÁ;Bagre;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1501204;PA;PARÁ;Baião;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1501253;PA;PARÁ;Bannach;94;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1501303;PA;PARÁ;Barcarena;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1501402;PA;PARÁ;Belém;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1501451;PA;PARÁ;Belterra;93;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1501501;PA;PARÁ;Benevides;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1501576;PA;PARÁ;Bom Jesus do Tocantins;94;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1501600;PA;PARÁ;Bonito;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1501709;PA;PARÁ;Bragança;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1501725;PA;PARÁ;Brasil Novo;93;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1501758;PA;PARÁ;Brejo Grande do Araguaia;94;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1501782;PA;PARÁ;Breu Branco;94;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1501808;PA;PARÁ;Breves;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1501907;PA;PARÁ;Bujaru;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1501956;PA;PARÁ;Cachoeira do Piriá;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1502004;PA;PARÁ;Cachoeira do Arari;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1502103;PA;PARÁ;Cametá;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1502152;PA;PARÁ;Canaã dos Carajás;94;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1502202;PA;PARÁ;Capanema;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1502301;PA;PARÁ;Capitão Poço;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1502400;PA;PARÁ;Castanhal;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1502509;PA;PARÁ;Chaves;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1502608;PA;PARÁ;Colares;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1502707;PA;PARÁ;Conceição do Araguaia;94;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1502756;PA;PARÁ;Concórdia do Pará;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1502764;PA;PARÁ;Cumaru do Norte;94;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1502772;PA;PARÁ;Curionópolis;94;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1502806;PA;PARÁ;Curralinho;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1502855;PA;PARÁ;Curuá;93;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1502905;PA;PARÁ;Curuçá;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1502939;PA;PARÁ;Dom Eliseu;94;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1502954;PA;PARÁ;Eldorado do Carajás;94;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1503002;PA;PARÁ;Faro;93;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1503044;PA;PARÁ;Floresta do Araguaia;94;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1503077;PA;PARÁ;Garrafão do Norte;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1503093;PA;PARÁ;Goianésia do Pará;94;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1503101;PA;PARÁ;Gurupá;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1503200;PA;PARÁ;Igarapé-Açu;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1503309;PA;PARÁ;Igarapé-Miri;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1503408;PA;PARÁ;Inhangapi;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1503457;PA;PARÁ;Ipixuna do Pará;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1503507;PA;PARÁ;Irituia;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1503606;PA;PARÁ;Itaituba;93;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1503705;PA;PARÁ;Itupiranga;94;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1503754;PA;PARÁ;Jacareacanga;93;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1503804;PA;PARÁ;Jacundá;94;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1503903;PA;PARÁ;Juruti;93;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1504000;PA;PARÁ;Limoeiro do Ajuru;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1504059;PA;PARÁ;Mãe do Rio;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1504109;PA;PARÁ;Magalhães Barata;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1504208;PA;PARÁ;Marabá;94;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1504307;PA;PARÁ;Maracanã;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1504406;PA;PARÁ;Marapanim;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1504422;PA;PARÁ;Marituba;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1504455;PA;PARÁ;Medicilândia;93;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1504505;PA;PARÁ;Melgaço;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1504604;PA;PARÁ;Mocajuba;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1504703;PA;PARÁ;Moju;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1504752;PA;PARÁ;Mojuí dos Campos;93;10/01/2016;-;Resolução nº 653, de 13 de julho de 2015;Sim
1504802;PA;PARÁ;Monte Alegre;93;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1504901;PA;PARÁ;Muaná;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1504950;PA;PARÁ;Nova Esperança do Piriá;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1504976;PA;PARÁ;Nova Ipixuna;94;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1505007;PA;PARÁ;Nova Timboteua;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1505031;PA;PARÁ;Novo Progresso;93;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1505064;PA;PARÁ;Novo Repartimento;94;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1505106;PA;PARÁ;Óbidos;93;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1505205;PA;PARÁ;Oeiras do Pará;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1505304;PA;PARÁ;Oriximiná;93;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1505403;PA;PARÁ;Ourém;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1505437;PA;PARÁ;Ourilândia do Norte;94;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
1505486;PA;PARÁ;Pacajá;91;13/06/2001;-;Resolução nº 263, de 8 de junho de 2001;Sim
